,deaths,dateRep
13908,0,2020-01-12
7642,0,2020-01-12
2732,0,2020-01-13
5702,0,2020-01-13
14037,0,2020-01-13
15024,0,2020-01-13
4379,0,2020-01-13
7641,0,2020-01-13
6826,0,2020-01-13
3194,0,2020-01-13
13550,0,2020-01-13
7079,0,2020-01-13
12207,0,2020-01-13
9518,0,2020-01-13
2167,0,2020-01-13
10306,0,2020-01-13
1643,0,2020-01-13
13907,0,2020-01-13
5286,0,2020-01-13
15207,0,2020-01-13
6825,0,2020-01-14
5285,0,2020-01-14
13906,0,2020-01-14
4378,0,2020-01-14
13549,0,2020-01-14
1642,0,2020-01-14
14036,0,2020-01-14
10305,0,2020-01-14
15023,0,2020-01-14
12206,0,2020-01-14
3193,0,2020-01-14
2731,0,2020-01-14
15206,0,2020-01-14
7078,0,2020-01-14
2166,0,2020-01-14
9517,0,2020-01-14
7640,0,2020-01-14
5701,0,2020-01-14
13905,0,2020-01-15
4377,0,2020-01-15
10304,0,2020-01-15
7639,0,2020-01-15
7077,0,2020-01-15
6824,0,2020-01-15
3192,1,2020-01-15
9516,0,2020-01-15
2165,0,2020-01-15
15205,0,2020-01-15
5284,0,2020-01-15
13548,0,2020-01-15
2730,0,2020-01-15
15022,0,2020-01-15
1641,0,2020-01-15
12205,0,2020-01-15
5700,0,2020-01-15
14035,0,2020-01-15
2164,0,2020-01-16
9515,0,2020-01-16
7076,0,2020-01-16
12204,0,2020-01-16
7638,0,2020-01-16
2729,0,2020-01-16
5283,0,2020-01-16
13904,0,2020-01-16
1640,0,2020-01-16
14034,0,2020-01-16
3191,0,2020-01-16
5699,0,2020-01-16
6823,0,2020-01-16
13547,0,2020-01-16
15204,0,2020-01-16
15021,0,2020-01-16
4376,0,2020-01-16
10303,0,2020-01-16
5698,0,2020-01-17
7637,0,2020-01-17
15203,0,2020-01-17
15020,0,2020-01-17
2728,0,2020-01-17
13903,0,2020-01-17
5282,0,2020-01-17
14033,0,2020-01-17
6822,0,2020-01-17
3190,0,2020-01-17
13546,0,2020-01-17
10302,0,2020-01-17
1639,0,2020-01-17
4375,0,2020-01-17
7075,0,2020-01-17
12203,0,2020-01-17
9514,0,2020-01-17
2163,0,2020-01-17
4374,0,2020-01-18
5281,0,2020-01-18
14032,0,2020-01-18
7074,0,2020-01-18
13545,0,2020-01-18
1638,0,2020-01-18
6821,0,2020-01-18
3189,0,2020-01-18
12202,0,2020-01-18
7636,0,2020-01-18
2727,0,2020-01-18
9513,0,2020-01-18
13902,0,2020-01-18
15019,0,2020-01-18
15202,0,2020-01-18
5697,0,2020-01-18
10301,0,2020-01-18
2162,0,2020-01-18
6820,0,2020-01-19
1637,0,2020-01-19
10300,0,2020-01-19
9512,0,2020-01-19
15018,0,2020-01-19
3188,1,2020-01-19
13901,0,2020-01-19
15201,0,2020-01-19
4373,0,2020-01-19
5280,0,2020-01-19
14031,0,2020-01-19
5696,0,2020-01-19
7073,0,2020-01-19
7635,0,2020-01-19
2161,0,2020-01-19
12201,0,2020-01-19
2726,0,2020-01-19
13544,0,2020-01-19
7634,0,2020-01-20
10299,0,2020-01-20
1636,0,2020-01-20
13543,0,2020-01-20
5279,0,2020-01-20
4372,0,2020-01-20
15200,0,2020-01-20
13900,0,2020-01-20
7072,0,2020-01-20
9511,0,2020-01-20
2160,0,2020-01-20
5695,0,2020-01-20
2725,0,2020-01-20
14030,0,2020-01-20
15017,0,2020-01-20
12200,0,2020-01-20
6819,0,2020-01-20
3187,0,2020-01-20
13899,0,2020-01-21
15016,0,2020-01-21
12199,0,2020-01-21
7071,0,2020-01-21
9510,0,2020-01-21
2159,0,2020-01-21
14029,0,2020-01-21
6818,0,2020-01-21
