,dateRep,popData2018,flag,countriesAndTerritories_Belgium,countriesAndTerritories_Brazil,countriesAndTerritories_Canada,countriesAndTerritories_China,countriesAndTerritories_Ecuador,countriesAndTerritories_France,countriesAndTerritories_Germany,countriesAndTerritories_India,countriesAndTerritories_Iran,countriesAndTerritories_Italy,countriesAndTerritories_Mexico,countriesAndTerritories_Netherlands,countriesAndTerritories_Peru,countriesAndTerritories_Russia,countriesAndTerritories_Spain,countriesAndTerritories_Sweden,countriesAndTerritories_Switzerland,countriesAndTerritories_Turkey,countriesAndTerritories_United_Kingdom,countriesAndTerritories_United_States_of_America
12110,2020-04-19,144478050.0,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11495,2020-04-19,31989256.0,33.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13453,2020-04-19,46723749.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3097,2020-04-19,1392730000.0,92.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5605,2020-04-19,82927922.0,50.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15110,2020-04-19,327167434.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14598,2020-04-19,82319724.0,32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6730,2020-04-19,1352617328.0,34.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9429,2020-04-19,126190788.0,32.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1546,2020-04-19,11422068.0,44.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2069,2020-04-20,209469333.0,37.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15109,2020-04-20,327167434.0,49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10208,2020-04-20,17231017.0,45.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13939,2020-04-20,8516543.0,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5604,2020-04-20,82927922.0,51.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9428,2020-04-20,126190788.0,33.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13452,2020-04-20,46723749.0,49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12109,2020-04-20,144478050.0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5188,2020-04-20,66987244.0,50.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14926,2020-04-20,66488991.0,46.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11494,2020-04-20,31989256.0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2634,2020-04-20,37058856.0,40.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6729,2020-04-20,1352617328.0,35.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14597,2020-04-20,82319724.0,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7543,2020-04-20,60431283.0,57.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4286,2020-04-20,17084357.0,34.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3096,2020-04-20,1392730000.0,93.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6981,2020-04-20,81800269.0,54.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1545,2020-04-20,11422068.0,45.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13809,2020-04-20,10183175.0,45.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1544,2020-04-21,11422068.0,46.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5603,2020-04-21,82927922.0,52.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7542,2020-04-21,60431283.0,58.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10207,2020-04-21,17231017.0,46.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15108,2020-04-21,327167434.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5187,2020-04-21,66987244.0,51.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12108,2020-04-21,144478050.0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14925,2020-04-21,66488991.0,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4285,2020-04-21,17084357.0,35.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6728,2020-04-21,1352617328.0,36.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6980,2020-04-21,81800269.0,55.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3095,2020-04-21,1392730000.0,94.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13808,2020-04-21,10183175.0,46.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14596,2020-04-21,82319724.0,34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2633,2020-04-21,37058856.0,41.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9427,2020-04-21,126190788.0,34.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11493,2020-04-21,31989256.0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13938,2020-04-21,8516543.0,46.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13451,2020-04-21,46723749.0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2068,2020-04-21,209469333.0,38.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1543,2020-04-22,11422068.0,47.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14924,2020-04-22,66488991.0,48.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13937,2020-04-22,8516543.0,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13450,2020-04-22,46723749.0,51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2067,2020-04-22,209469333.0,39.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6727,2020-04-22,1352617328.0,37.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6979,2020-04-22,81800269.0,56.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13807,2020-04-22,10183175.0,47.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9426,2020-04-22,126190788.0,35.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14595,2020-04-22,82319724.0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11492,2020-04-22,31989256.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2632,2020-04-22,37058856.0,42.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15107,2020-04-22,327167434.0,51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12107,2020-04-22,144478050.0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5602,2020-04-22,82927922.0,53.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7541,2020-04-22,60431283.0,59.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3094,2020-04-22,1392730000.0,95.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10206,2020-04-22,17231017.0,47.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5186,2020-04-22,66987244.0,52.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4284,2020-04-22,17084357.0,36.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
